PM2.5,AQI,Year_age_in_years,CO,City_Gurugram,City_Talcher,PM10,Month,NOx,Day,AQI_Bucket,City_Patna,City_Delhi,Date,City_Guwahati,City_Thiruvananthapuram,City_Lucknow,City_Shillong,City_Kolkata,City_Visakhapatnam,Year,Target,Linear_SVR_0
128.73,254.0,9,0.47,0,0,136.07,1,36.51,23,2,0,0,22,0,0,0,0,0,0,2015,128.73,128.72915768310847
128.73,254.0,9,0.84,0,0,136.07,1,14.62,24,2,0,0,23,0,0,0,0,0,0,2015,128.73,128.72913366188791
128.73,254.0,9,0.38,0,0,136.07,1,25.97,24,2,0,0,23,0,0,0,0,0,0,2015,128.73,128.72914475457654
128.73,254.0,9,0.0,0,0,136.07,1,26.59,24,2,0,0,23,0,0,0,0,0,0,2015,128.73,128.72926140496213
128.73,254.0,9,6.83,0,0,136.07,1,3.8,24,2,0,0,23,0,0,1,0,0,0,2015,128.73,128.7305604462704
128.73,254.0,9,2.42,0,0,136.07,1,9.73,24,2,0,0,23,0,0,0,0,0,0,2015,128.73,128.72913593276598
164.98,324.0,9,9.39,0,0,200.02,1,25.49,24,5,0,1,23,0,0,0,0,0,0,2015,164.98,164.9807616882655
164.98,324.0,9,2.03,0,0,200.02,1,21.4,24,5,0,0,23,0,0,0,0,0,0,2015,164.98,164.98060936723303
164.98,324.0,9,1.42,0,0,200.02,1,20.19,25,5,0,0,24,0,0,0,0,0,0,2015,164.98,164.97975792944925
164.98,324.0,9,0.85,0,0,200.02,1,14.56,25,5,0,0,24,0,0,0,0,0,0,2015,164.98,164.98022509519467
164.98,324.0,9,12.66,0,0,200.02,1,3.05,25,5,0,0,24,0,0,1,0,0,0,2015,164.98,164.9812005888239
164.98,324.0,9,0.36,0,0,200.02,1,24.02,25,5,0,0,24,0,0,0,0,0,0,2015,164.98,164.97988749157102
164.98,324.0,9,0.0,0,0,200.02,1,26.27,25,5,0,0,24,0,0,0,0,0,0,2015,164.98,164.98023201543526
148.59,333.0,9,11.44,0,0,203.81,1,28.29,25,5,0,1,24,0,0,0,0,0,0,2015,148.59,148.58985359036393
148.59,333.0,9,3.39,0,0,203.81,1,8.72,25,5,0,0,24,0,0,0,0,0,0,2015,148.59,148.59076532327018
148.59,333.0,9,2.27,0,0,203.81,1,21.81,26,5,0,0,25,0,0,0,0,0,0,2015,148.59,148.58992887261084
148.59,333.0,9,2.07,0,0,203.81,1,14.43,26,5,0,0,25,0,0,0,0,0,0,2015,148.59,148.5902636359188
129.34,292.0,9,10.19,0,0,137.86,1,29.48,26,2,0,1,25,0,0,0,0,0,0,2015,129.34,129.3401037601726
129.34,292.0,9,0.3,0,0,137.86,1,17.06,26,2,0,0,25,0,0,0,0,0,0,2015,129.34,129.33997582114378
129.34,292.0,9,0.0,0,0,137.86,1,26.86,26,2,0,0,25,0,0,0,0,0,0,2015,129.34,129.33993459806558
129.34,292.0,9,5.39,0,0,137.86,1,8.43,26,2,0,0,25,0,0,0,0,0,0,2015,129.34,129.33909246984663
129.34,292.0,9,9.29,0,0,137.86,1,4.05,26,2,0,0,25,0,0,1,0,0,0,2015,129.34,129.34020554237608
129.34,292.0,9,0.0,0,0,137.86,1,27.26,27,2,0,0,26,0,0,0,0,0,0,2015,129.34,129.33908727792578
